Microbe,MDI_Importance,Mean_Lean,Mean_Obese,Enriched_In
msp_0142,0.024312253328006055,2.0004109487124144,4.584261345464991,Obese
msp_0357,0.017823922948103206,-0.30370806817557255,2.640754286825621,Obese
msp_1641,0.013354557442198744,1.6774206211688285,3.6515964045727367,Obese
msp_0196,0.013075807759146652,4.875713316346565,1.7853379821420134,Lean
msp_1022,0.012553541946180266,-0.9822284074037593,-2.076219155683725,Lean
msp_0046,0.012032530617341589,7.931744080091387,6.490557042740894,Lean
msp_0258,0.011628582166720972,1.5889016646423595,-0.3309408123514045,Lean
msp_0032,0.009377876370236026,5.088102557293904,2.659401400120036,Lean
msp_1347c,0.009004567899849441,-0.4322040978321491,-1.5482906044877018,Lean
msp_0742,0.007638135895459554,1.0753250454578391,3.2263464992892383,Obese
msp_0578,0.007263826598911753,-0.01139604173880814,-1.5681738780402033,Lean
msp_0530,0.007218357271248874,1.6962303083324715,3.8143399527053345,Obese
