Microbe,MDI_Importance,Mean_Lean,Mean_Obese,Enriched_In
msp_0142,0.024312253328006055,2.0004109487124144,4.584261345464991,Obese
msp_0357,0.017823922948103206,-0.30370806817557255,2.640754286825621,Obese
msp_1641,0.013354557442198744,1.6774206211688285,3.6515964045727367,Obese
msp_0196,0.013075807759146652,4.875713316346565,1.7853379821420134,Lean
msp_1022,0.012553541946180266,-0.9822284074037593,-2.076219155683725,Lean
